Configuration Results:
Default AMAT: 1.116866822729605, Default Area: 40000.0
Sets: 64, Ways: 4, Block Size: 256, Hit Rate: 99.31%, AMAT: 1.03, Area: 160000.00, AMAT Diff: -7.98%, Area Diff: 300.00%, Total Diff: 292.02%
Sets: 64, Ways: 8, Block Size: 256, Hit Rate: 99.31%, AMAT: 1.03, Area: 320000.00, AMAT Diff: -7.98%, Area Diff: 700.00%, Total Diff: 692.02%
Sets: 128, Ways: 2, Block Size: 256, Hit Rate: 99.67%, AMAT: 1.01, Area: 160000.00, AMAT Diff: -9.26%, Area Diff: 300.00%, Total Diff: 290.74%
Sets: 128, Ways: 4, Block Size: 256, Hit Rate: 99.67%, AMAT: 1.01, Area: 320000.00, AMAT Diff: -9.26%, Area Diff: 700.00%, Total Diff: 690.74%
Sets: 128, Ways: 8, Block Size: 256, Hit Rate: 99.67%, AMAT: 1.01, Area: 640000.00, AMAT Diff: -9.26%, Area Diff: 1500.00%, Total Diff: 1490.74%
Sets: 256, Ways: 2, Block Size: 256, Hit Rate: 99.82%, AMAT: 1.01, Area: 320000.00, AMAT Diff: -9.82%, Area Diff: 700.00%, Total Diff: 690.18%
Sets: 256, Ways: 4, Block Size: 256, Hit Rate: 99.82%, AMAT: 1.01, Area: 640000.00, AMAT Diff: -9.82%, Area Diff: 1500.00%, Total Diff: 1490.18%
Sets: 256, Ways: 8, Block Size: 256, Hit Rate: 99.82%, AMAT: 1.01, Area: 1280000.00, AMAT Diff: -9.82%, Area Diff: 3100.00%, Total Diff: 3090.18%
Sets: 2, Ways: 2, Block Size: 512, Hit Rate: 95.29%, AMAT: 1.42, Area: 2500.00, AMAT Diff: 27.55%, Area Diff: -93.75%, Total Diff: -66.20%
Sets: 2, Ways: 4, Block Size: 512, Hit Rate: 95.29%, AMAT: 1.42, Area: 5000.00, AMAT Diff: 27.55%, Area Diff: -87.50%, Total Diff: -59.95%
Sets: 2, Ways: 8, Block Size: 512, Hit Rate: 95.29%, AMAT: 1.42, Area: 10000.00, AMAT Diff: 27.55%, Area Diff: -75.00%, Total Diff: -47.45%
Sets: 4, Ways: 2, Block Size: 512, Hit Rate: 96.42%, AMAT: 1.32, Area: 5000.00, AMAT Diff: 18.42%, Area Diff: -87.50%, Total Diff: -69.08%
Sets: 4, Ways: 4, Block Size: 512, Hit Rate: 96.42%, AMAT: 1.32, Area: 10000.00, AMAT Diff: 18.42%, Area Diff: -75.00%, Total Diff: -56.58%
Sets: 4, Ways: 8, Block Size: 512, Hit Rate: 96.42%, AMAT: 1.32, Area: 20000.00, AMAT Diff: 18.42%, Area Diff: -50.00%, Total Diff: -31.58%
Sets: 8, Ways: 2, Block Size: 512, Hit Rate: 97.99%, AMAT: 1.18, Area: 10000.00, AMAT Diff: 5.76%, Area Diff: -75.00%, Total Diff: -69.24%
Sets: 8, Ways: 4, Block Size: 512, Hit Rate: 97.99%, AMAT: 1.18, Area: 20000.00, AMAT Diff: 5.76%, Area Diff: -50.00%, Total Diff: -44.24%
Sets: 8, Ways: 8, Block Size: 512, Hit Rate: 97.99%, AMAT: 1.18, Area: 40000.00, AMAT Diff: 5.76%, Area Diff: 0.00%, Total Diff: 5.76%
Sets: 16, Ways: 2, Block Size: 512, Hit Rate: 99.35%, AMAT: 1.06, Area: 20000.00, AMAT Diff: -5.19%, Area Diff: -50.00%, Total Diff: -55.19%
Sets: 16, Ways: 4, Block Size: 512, Hit Rate: 99.35%, AMAT: 1.06, Area: 40000.00, AMAT Diff: -5.19%, Area Diff: 0.00%, Total Diff: -5.19%
